Date,Control Point,Arrival / Departure,Hong Kong Residents,Mainland Visitors,Other Visitors,Total
01-01-2025,Lo Wu,Arrival,86909,17644,795,105348
01-01-2025,Lok Ma Chau,Arrival,19634,3173,317,23124
01-02-2025,Lo Wu,Arrival,92278,27341,903,120522
01-02-2025,Lok Ma Chau,Arrival,21644,5777,368,27789
02-01-2025,Lo Wu,Arrival,68032,12364,1033,81429
02-01-2025,Lok Ma Chau,Arrival,12787,2661,363,15811
02-02-2025,Lo Wu,Arrival,105057,28368,868,134293
02-02-2025,Lok Ma Chau,Arrival,24388,5748,386,30522
03-01-2025,Lo Wu,Arrival,65875,13745,998,80618
03-01-2025,Lok Ma Chau,Arrival,11734,2800,363,14897
03-02-2025,Lo Wu,Arrival,83364,24008,799,108171
03-02-2025,Lok Ma Chau,Arrival,17404,4732,309,22445
04-01-2025,Lo Wu,Arrival,76486,18372,965,95823
04-01-2025,Lok Ma Chau,Arrival,15834,3450,392,19676
04-02-2025,Lo Wu,Arrival,76437,18968,628,96033
04-02-2025,Lok Ma Chau,Arrival,14269,3726,220,18215
05-01-2025,Lo Wu,Arrival,96482,15767,890,113139
